Attaching 1 probe...
Attaching 1 probe...
Attaching 1 probe...
bpftrace 45309 2 1396015849236539
swapper/2 0 2 1396015849244842
bpftrace 45309 2 1396015849236218
swapper/2 0 2 1396015849244534
bpftrace 45309 2 1396015849254793
bpftrace 45309 2 1396015849255123
swapper/2 0 2 1396015849263744
swapper/2 0 2 1396015849264012
bpftrace 45294 7 1396015849257069
bpftrace 45294 7 1396015849255127
swapper/7 0 7 1396015849265287
swapper/7 0 7 1396015849264963
bpftrace 45300 5 1396015849261198
swapper/5 0 5 1396015849264768
bpftrace 45300 5 1396015849260911
swapper/5 0 5 1396015849264497
bpftrace 45309 2 1396015849277732
bpftrace 45309 2 1396015849278048
swapper/2 0 2 1396015849279798
swapper/2 0 2 1396015849280113
bpftrace 45309 2 1396015849255468
bpftrace 45309 2 1396015849284779
swapper/2 0 2 1396015849264156
swapper/2 0 2 1396015849287450
bpftrace 45309 2 1396015849284455
bpftrace 45309 2 1396015849278183
bpftrace 45300 5 1396015849285325
swapper/2 0 2 1396015849287250
swapper/2 0 2 1396015849280243
swapper/5 0 5 1396015849288137
bpftrace 45300 5 1396015849285053
bpftrace 45309 2 1396015849284912
swapper/5 0 5 1396015849287867
swapper/2 0 2 1396015849287584
bpftrace 45309 2 1396015849296815
bpftrace 45309 2 1396015849296366
bpftrace 45309 2 1396015849296682
swapper/2 0 2 1396015849298614
swapper/2 0 2 1396015849298482
swapper/2 0 2 1396015849298283
bpftrace 45309 2 1396015849302983
bpftrace 45294 7 1396015849257849
swapper/2 0 2 1396015849304885
bpftrace 45309 2 1396015849303266
swapper/7 0 7 1396015849265442
swapper/2 0 2 1396015849305166
bpftrace 45300 5 1396015849261569
swapper/5 0 5 1396015849264932
bpftrace 45300 5 1396015849285606
bpftrace 45300 5 1396015849308591
swapper/5 0 5 1396015849288335
bpftrace 45309 2 1396015849309468
swapper/5 0 5 1396015849313962
bpftrace 45300 5 1396015849308852
swapper/2 0 2 1396015849313501
bpftrace 45309 2 1396015849309788
swapper/5 0 5 1396015849314140
swapper/2 0 2 1396015849313697
bpftrace 45300 5 1396015849308368
swapper/5 0 5 1396015849313727
bpftrace 45309 2 1396015849303424
swapper/2 0 2 1396015849305294
bpftrace 45309 2 1396015849322070
bpftrace 45309 2 1396015849322361
bpftrace 45309 2 1396015849309922
swapper/2 0 2 1396015849324052
swapper/2 0 2 1396015849324373
swapper/2 0 2 1396015849313829
bpftrace 45309 2 1396015849322496
swapper/2 0 2 1396015849324499
bpftrace 45309 2 1396015849331896
bpftrace 45309 2 1396015849331764
swapper/2 0 2 1396015849334645
swapper/2 0 2 1396015849334514
bpftrace 45309 2 1396015849331469
bpftrace 45300 5 1396015849332372
bpftrace 45300 5 1396015849332125
swapper/2 0 2 1396015849334311
swapper/5 0 5 1396015849335207
swapper/5 0 5 1396015849335397
bpftrace 45300 5 1396015849331862
swapper/5 0 5 1396015849334984
bpftrace 45309 2 1396015849342600
bpftrace 45309 2 1396015849342175
swapper/2 0 2 1396015849344576
bpftrace 45309 2 1396015849342468
swapper/2 0 2 1396015849344250
swapper/2 0 2 1396015849344445
bpftrace 45309 2 1396015849349544
swapper/2 0 2 1396015849353177
bpftrace 45309 2 1396015849349227
bpftrace 45309 2 1396015849349679
bpftrace 45294 7 1396015849349308
swapper/2 0 2 1396015849352980
swapper/7 0 7 1396015849353923
swapper/2 0 2 1396015849353308
bpftrace 45294 7 1396015849348929
bpftrace 45300 5 1396015849349463
bpftrace 45294 7 1396015849349587
swapper/7 0 7 1396015849353664
swapper/5 0 5 1396015849354038
swapper/7 0 7 1396015849354103
bpftrace 45300 5 1396015849349196
bpftrace 45300 5 1396015849349732
swapper/5 0 5 1396015849353784
swapper/5 0 5 1396015849354225
bpftrace 45309 2 1396015849363879
bpftrace 45309 2 1396015849364196
bpftrace 45309 2 1396015849364331
swapper/2 0 2 1396015849365841
swapper/2 0 2 1396015849366039
swapper/2 0 2 1396015849366170
bpftrace 45309 2 1396015849371664
swapper/2 0 2 1396015849376623
bpftrace 45309 2 1396015849371797
bpftrace 45309 2 1396015849371343
bpftrace 45300 5 1396015849371839
swapper/2 0 2 1396015849376753
swapper/5 0 5 1396015849377462
swapper/2 0 2 1396015849376421
bpftrace 45294 7 1396015849372995
bpftrace 45300 5 1396015849372142
bpftrace 45294 7 1396015849372624
swapper/7 0 7 1396015849377382
swapper/5 0 5 1396015849377730
swapper/7 0 7 1396015849377125
bpftrace 45294 7 1396015849373278
bpftrace 45300 5 1396015849371564
swapper/7 0 7 1396015849377572
swapper/5 0 5 1396015849377194
bpftrace 45309 2 1396015849387260
bpftrace 45309 2 1396015849387396
swapper/2 0 2 1396015849389128
bpftrace 45309 2 1396015849386944
swapper/2 0 2 1396015849389259
swapper/2 0 2 1396015849388929
bpftrace 45309 2 1396015849394318
bpftrace 45309 2 1396015849393854
swapper/2 0 2 1396015849396189
bpftrace 45309 2 1396015849394185
swapper/2 0 2 1396015849395830
swapper/2 0 2 1396015849396060
bpftrace 45294 7 1396015849402183
bpftrace 45294 7 1396015849402448
bpftrace 45309 2 1396015849406492
swapper/7 0 7 1396015849410611
swapper/7 0 7 1396015849410793
swapper/2 0 2 1396015849410663
bpftrace 45309 2 1396015849406813
bpftrace 45309 2 1396015849406946
swapper/2 0 2 1396015849410863
bpftrace 45294 7 1396015849399727
swapper/2 0 2 1396015849410994
swapper/7 0 7 1396015849410354
bpftrace 45300 5 1396015849407167
bpftrace 45300 5 1396015849407410
swapper/5 0 5 1396015849411174
bpftrace 45300 5 1396015849406927
swapper/5 0 5 1396015849411306
swapper/5 0 5 1396015849410963
bpftrace 45309 2 1396015849423507
bpftrace 45309 2 1396015849423033
swapper/2 0 2 1396015849425573
bpftrace 45309 2 1396015849423350
swapper/2 0 2 1396015849425186
swapper/2 0 2 1396015849425444
bpftrace 45309 2 1396015849430172
bpftrace 45294 7 1396015849429752
swapper/2 0 2 1396015849434647
swapper/7 0 7 1396015849434549
bpftrace 45294 7 1396015849429485
bpftrace 45309 2 1396015849429861
swapper/7 0 7 1396015849434363
bpftrace 45309 2 1396015849430308
swapper/2 0 2 1396015849434437
bpftrace 45300 5 1396015849430455
swapper/2 0 2 1396015849434801
swapper/5 0 5 1396015849434955
bpftrace 45294 7 1396015849429142
bpftrace 45300 5 1396015849430745
swapper/7 0 7 1396015849434100
swapper/5 0 5 1396015849435139
bpftrace 45300 5 1396015849430183
bpftrace 45309 2 1396015849449325
swapper/5 0 5 1396015849434712
bpftrace 45309 2 1396015849449190
swapper/2 0 2 1396015849451202
swapper/2 0 2 1396015849451073
bpftrace 45309 2 1396015849448896
swapper/2 0 2 1396015849450876
bpftrace 45309 2 1396015849456451
swapper/2 0 2 1396015849459372
bpftrace 45309 2 1396015849456771
bpftrace 45309 2 1396015849456904
swapper/2 0 2 1396015849459612
bpftrace 45294 7 1396015849456512
swapper/2 0 2 1396015849459745
bpftrace 45294 7 1396015849456878
swapper/7 0 7 1396015849460158
swapper/7 0 7 1396015849460400
bpftrace 45294 7 1396015849457149
swapper/7 0 7 1396015849460594
bpftrace 45309 2 1396015849468920
bpftrace 45300 5 1396015849468754
bpftrace 45309 2 1396015849468468
swapper/2 0 2 1396015849474924
swapper/5 0 5 1396015849475432
bpftrace 45300 5 1396015849468192
bpftrace 45294 7 1396015849475770
swapper/5 0 5 1396015849475019
swapper/7 0 7 1396015849479945
bpftrace 45294 7 1396015849475130
swapper/2 0 2 1396015849475254
swapper/7 0 7 1396015849479404
bpftrace 45294 7 1396015849490095
